InvestorsName,Count
Keith Rodricks,1
Kellygamma,1
Kemark Ventures,1
Keshav Sanghi,1
Kevin Parikh,1
Keystone Group,1
Keyur Joshi,1
Khattar Holdings,2
Khazanah Nasional Berhad,3
Khosla Impact,3
Khosla Ventures,1
Kickstarter,1
Kima Ventures,1
Kinnevik Group,1
Kinzon Capital,1
Kiran Bhat,1
Kiran Deshpande,1
Kiran Mazumdar-Shaw,2
Kirthiga Reddy,1
Kishor Ganji,1
Kishore Ganji,1
Kishore Kumar,1
Kiyohiro Sugashita,1
Kjs Group,1
Kk Mehra,1
Kleiner Perkins,1
Kludein Llcphanindra Sama,1
Knoll Ventures And Others,1
Koen Bouwers,1
Konglo Ventures,2
Konly Venture,1
Kris Gopalakrishnan,8
Kris Gopalakrishnan & Others,1
Krish Seshadri,1
Krishan Gupta & Others,1
Krishna Jhujhunwala,1
Krishna Jhunjhunwaala,1
Krishna Jhunjhunwala,1
Krishna Mehra,3
Krishna Rokhale,1
Krishnakumar Nataraj,1
Krit Sankalp,1
Kshitij Jain,2
Kstart Capital,2
Ktb Network,1
Kumar Bansal,1
Kumar Shwetabh,1
Kunal Bahl,13
Kunal Bajaj,1
Kunal Khattar,1
Kunal Shah,16
Kunal Shah & Sandeep Tandon,2
Kwan Entertainment & Marketing Solutions,1
L.D Sharma,1
Labruyere Eberlã©,1
Lahiri MusicâS Family Office,1
Lalit Mangal,3
Lalit Mangal & Others,1
Lalit Vase,1
Lalitesh Katragadda,1
Langoor,1
Lantern Capital,1
Larry Braitman,1
Lashit Sanghvi,1
Lead Angel Network,1
Lead Angels,5
Lead Angels & Others,2
Lead Angels Group & Others,1
Lead Angels Network,1
