,Word,Frequency
113,Feel,1
110,#Restaurant,1
109,#Finedining,1
108,😍😍,1
107,@Journeyexperiencenyc,1
105,Today,1
73,Through,1
70,Stories,1
230,Melt,1
35,Housed,1
32,Star,1
31,3,1
30,"@Cellercanroca,",1
29,Served,1
27,Dessert,1
26,#French,1
22,#Saintpierre,1
21,#Singapore,1
20,🤷🏽‍♂️😍,1
19,Try?,1
14,Course,1
12,⭐️⭐️,1
11,Singapore.,1
8,Starred,1
4,"@Saintpierresg,",1
34,🇪🇸🤯,1
36,Purpose-Built,1
66,Spiritual.,1
37,Modern,1
65,Rather,1
62,Gastronomic,1
60,"Effect,",1
59,Meditative,1
57,Design,1
56,Architectural,1
55,Does,1
53,Not,1
52,Spain.,1
51,Girona,1
49,Architecture,1
48,Medieval,1
46,Contrast,1
45,Interesting,1
38,"Space,",1
130,Rosemary,1
131,Sprigs,1
133,Chopped,1
204,Shows,1
202,🐟👀🤷🏽‍♂️,1
201,Eyes?!,1
200,Eaten,1
199,Aldoventuracci/Tt,1
198,Work,1
197,Did,1
196,Method,1
195,Used,1
194,🍾🥂🤯,1
193,Champagne!,1
192,Bottle,1
191,Open,1
190,Way,1
189,*Correct*,1
188,Shown,1
203,@Sushi_Chef.Hiro,1
205,How,1
134,Parsley!,1
207,Simmered,1
227,Golden,1
226,"Fluffy,",1
225,Sunday,1
221,Better,1
220,Nothing’S,1
219,#Foodreviews,1
218,Places?,1
216,Edition,1
215,Tourist,1
214,Day:,1
212,Eat,1
211,😳,1
210,Eyes!,1
209,Tuna,1
208,Bluefin,1
186,🥰,1
185,Watch!,1
183,Inviting,1
182,Seafood,1
155,Directly,1
154,Scooped,1
153,Live,1
152,Includes,1
150,Salad,1
148,Delicacies…,1
147,Unusual,1
143,Thailand,1
142,Back,1
141,😬🦐💃🏽,1
140,Salad?,1
138,Dancing,1
137,Want,1
136,Anyone,1
135,🙏🥰,1
157,Tank,1
158,Front,1
159,🤯,1
174,Very,1
180,Ocean,1
179,Thanks,1
178,🤩🐟🔪,1
177,Amazingness,1
176,See,1
175,End,1
173,Until,1
162,#Thailand,1
172,Watch,1
171,Filmed.,1
169,We’Ve,1
168,Videos,1
167,Filleting,1
165,Mesmerising,1
465,#Southindian,1
466,#Authentic,1
467,@Begreenr,1
715,@Wendys,1
712,#Losangeles,1
711,#Spicy,1
710,#Halalfood,1
709,#Halal,1
708,Today.,1
707,Delivery,1
706,Ios,1
704,Gyro”,1
703,“New,1
702,Download,1
701,@Doordash,1
700,Honor,1
699,Star”,1
698,Loved,1
697,Coveted,1
713,#La,1
716,Announced,1
694,Locations.,1
717,June,1
734,"Customers,",1
733,Upsell,1
732,It’S,1
731,Process”.,1
730,Part,1
729,“Slowest,1
728,Up,1
727,Speed,1
725,Chatbot,1
724,🤖🍔,1
723,Locations,1
722,Drive-Thru,1
721,Ohio,1
720,Ai,1
719,Testing,1
696,Recipient,1
693,4,1
649,Tiny,1
670,🌙,1
668,Growing,1
667,Couple,1
666,Different,1
665,Represents,1
664,“Interstellar”,1
663,Influences.,1
662,American,1
661,Heritage,1
660,Korean,1
658,Reflect,1
657,Dinner.,1
656,Lunch,1
655,"Breakfast,",1
653,All-Day,1
652,Transformed,1
669,Up.,1
671,#Interstellar,1
692,Opening,1
672,#Coffeeshop,1
691,Angeles,1
689,Moved,1
688,Raised,1
687,Born,1
686,Were,1
685,Owners,1
684,@Nyc_Gyro,1
683,La.,1
682,Halal,1
680,Brings,1
679,Gyro,1
676,#Fusion,1
675,#Americancuisine,1
674,#Koreancuisine,1
673,#Aapimonth,1
735,Larger,1
736,Sizes,1
737,Daily,1
800,6-Course,1
798,Director,1
797,Founder,1
796,",",1
795,@Harrynuriev,1
794,Designer,1
793,/,1
792,Architect,1
791,@Mory_Sacko_,1
790,Michelin-Starred,1
787,17Th,1
786,12Th,1
785,May,1
784,"Street,",1
783,Water,1
782,161,1
799,@Crosbystudios,1
802,"Techniques,",1
738,Specials.,1
803,Combined,1
819,Flatbread,1
818,Cheesy,1
817,@Doritos,1
815,Released,1
814,@Papajohns,1
813,#Artweek,1
812,#Popup,1
811,Condiments,1
810,Products,1
809,Japanese,1
808,Finalized,1
807,African,1
806,Warmth,1
805,"Chilies,",1
804,"Spices,",1
781,Manhattan,1
780,Downtown,1
779,@Wsanyc,1
777,Highly-Anticipated,1
755,“Rocket,1
754,Launched,1
753,@Twistedtea,1
752,Classic.,1
750,Tea),1
749,Twist(Ed,1
748,#Artificialinteligence,1
747,#Google,1
746,#Wendys,1
745,#Drivethru,1
744,#Ai,1
743,Horrible,1
741,Good,1
740,Ai?,1
739,Application,1
756,Pop”,1
758,Add,1
760,Party,1
769,21+,1
776,Opens,1
775,@We.Are.Ona,1
774,Studio,1
772,#Rocketpop,1
771,#Twistedtea,1
770,😉🔥.,1
768,Being,1
761,Pack.,1
767,Perks,1
766,Mixed,1
765,Drink,1
764,Nostalgia,1
763,Combo,1
762,Seems,1
650,Coffee,1
648,Started,1
470,"Café,",1
542,Pco,1
539,Drinks.,1
537,Serves,1
536,Kind,1
535,"Capital,",1
534,Hideaway,1
533,Visit!,1
532,Speakeasy,1
531,@Passcodeonly,1
528,#Nextsip,1
527,#Southdelhi,1
526,#Plantbased,1
525,#Greenr,1
523,Unwind!,1
522,Wekeend,1
521,Outlet,1
540,🍸,1
544,Pass,1
517,"1,",1
545,Code,1
561,"4,",1
560,D,1
559,Days✨,1
558,5:30Pm,1
557,🤫✨,1
556,Friends.,1
555,Patrons,1
554,Private,1
553,Sent,1
552,"Week,",1
551,Times,1
550,Changes,1
549,Passcode,1
548,Speakeasy.,1
547,Enter,1
520,Greenr’S,1
516,Kailash,1
647,Monica.,1
491,Unprocessed,1
487,Was,1
486,Concept,1
485,2015.,1
484,Yadav,1
483,Mohit,1
482,Dixit,1
481,Nitin,1
480,Co-Founded,1
479,Cafe,1
478,Community,1
477,Greenr,1
476,😋🥙,1
474,Location,1
472,Doors,1
471,Opened,1
489,California,1
492,Diet,1
515,Greater,1
494,Active,1
512,N,1
511,"N-4,",1
510,"10Pm,",1
508,Living.🌿,1
507,Sustainable,1
506,Encouraging,1
505,About,1
503,Flagship,1
502,Largest-Ever,1
501,Cafe’S,1
500,Space,1
499,🥗,1
498,Brands.,1
497,Conscious,1
496,Emerging,1
562,"D,",1
563,You’D,1
564,Here!,1
627,Trying,1
625,Treat.,1
624,Delectable,1
623,"Few,",1
621,"Compote,",1
620,Strawberry,1
619,"Tuile,",1
618,Coconut,1
617,"Jelly,",1
616,Sakura,1
615,Lemon,1
614,Lychee,1
613,Parfait.,1
612,Spring,1
611,Ingredient,1
610,16,1
626,Who'S,1
628,It??,1
565,#Worldcocktailday,1
629,🍓🥥🍨,1
646,Santa,1
645,Kim,1
644,Daniel,1
643,@Angiekimmm,1
642,Wife,1
641,Husband,1
640,Run,1
639,@Intersellar_La,1
638,#Japanesefood,1
637,#Newyorkcityfoodie,1
636,#Nyceats,1
633,#Parfait,1
632,#Expensive,1
631,#Momoyasoho,1
630,#Dessert,1
609,"Ranman,",1
608,Haru,1
607,@Momoyasoho,1
606,Dessert”.,1
582,Brunch,1
581,Cafes,1
580,Restaurants,1
578,Delicacies,1
577,Regional,1
576,Treats,1
575,European,1
574,👩‍👦✨,1
573,Together!,1
571,Moments,1
570,Celebrate,1
569,"Day,",1
568,Mother’S,1
567,#Passcodeonly,1
566,#Pco,1
583,Date,1
584,Mom!,1
585,🍽️😋,1
595,Butter,1
605,Complicated,1
603,York’S,1
602,Indulge,1
601,"$28,",1
598,#Butterchicken,1
597,🤤🍽️,1
594,Creamy,1
586,Later,1
592,Sign,1
591,Consider,1
590,#Cafes,1
589,#Brunch,1
588,#Mothersday,1
587,Spots!👯‍♀️,1
1428,Chowk,1
